id,region_id,store_id,deal_id,status,platform_category_id
769,54,105,32,0,3
770,54,105,33,0,13
771,54,105,34,0,13
772,54,105,35,0,13
773,54,105,36,0,13
774,54,105,37,0,13
775,54,105,38,0,13
776,54,105,39,0,13
777,54,105,40,0,13
778,54,105,41,0,13
779,54,105,42,0,13
780,54,106,1,0,3
781,54,106,3,0,13
782,54,106,4,0,5
783,54,106,5,0,14
784,54,106,6,0,4
785,54,106,7,0,4
786,54,106,8,0,4
787,54,106,9,0,4
788,54,106,10,0,4
789,54,106,11,0,4
790,54,106,12,0,4
791,54,106,13,0,3
792,54,106,14,0,3
793,54,106,15,0,3
794,54,106,16,0,3
795,54,106,17,0,13
796,54,106,18,0,13
797,54,106,19,0,13
798,54,106,20,0,13
799,54,106,21,0,13
800,54,106,22,0,4
801,54,106,23,0,4
802,54,106,24,0,4
803,54,106,25,0,4
804,54,106,26,0,4
805,54,106,27,0,4
806,54,106,28,0,4
807,54,106,29,0,3
808,54,106,30,0,3
809,54,106,31,0,3
810,54,106,32,0,3
811,54,106,33,0,13
812,54,106,34,0,13
813,54,106,35,0,13
814,54,106,36,0,13
815,54,106,37,0,13
816,54,106,38,0,13
817,54,106,39,0,13
818,54,106,40,0,13
819,54,106,41,0,13
820,54,106,42,0,13
821,54,107,1,0,3
822,54,107,3,0,13
823,54,107,4,0,5
824,54,107,5,0,14
825,54,107,6,0,4
826,54,107,7,0,4
827,54,107,8,0,4
828,54,107,9,0,4
829,54,107,10,0,4
830,54,107,11,0,4
831,54,107,12,0,4
832,54,107,13,0,3
833,54,107,14,0,3
834,54,107,15,0,3
835,54,107,16,0,3
836,54,107,17,0,13
837,54,107,18,0,13
838,54,107,19,0,13
839,54,107,20,0,13
840,54,107,21,0,13
841,54,107,22,0,4
842,54,107,23,0,4
843,54,107,24,0,4
844,54,107,25,0,4
845,54,107,26,0,4
846,54,107,27,0,4
847,54,107,28,0,4
848,54,107,29,0,3
849,54,107,30,0,3
850,54,107,31,0,3
851,54,107,32,0,3
852,54,107,33,0,13
853,54,107,34,0,13
854,54,107,35,0,13
855,54,107,36,0,13
856,54,107,37,0,13
857,54,107,38,0,13
858,54,107,39,0,13
859,54,107,40,0,13
860,54,107,41,0,13
861,54,107,42,0,13
862,54,108,1,0,3
863,54,108,3,0,13
864,54,108,4,0,5
865,54,108,5,0,14
866,54,108,6,0,4
867,54,108,7,0,4
868,54,108,8,0,4
869,54,108,9,0,4
870,54,108,10,0,4
871,54,108,11,0,4
872,54,108,12,0,4
873,54,108,13,0,3
874,54,108,14,0,3
875,54,108,15,0,3
876,54,108,16,0,3
877,54,108,17,0,13
878,54,108,18,0,13
879,54,108,19,0,13
880,54,108,20,0,13
881,54,108,21,0,13
882,54,108,22,0,4
883,54,108,23,0,4
884,54,108,24,0,4
885,54,108,25,0,4
886,54,108,26,0,4
887,54,108,27,0,4
888,54,108,28,0,4
889,54,108,29,0,3
890,54,108,30,0,3
891,54,108,31,0,3
892,54,108,32,0,3
893,54,108,33,0,13
894,54,108,34,0,13
895,54,108,35,0,13
896,54,108,36,0,13
897,54,108,37,0,13
898,54,108,38,0,13
899,54,108,39,0,13
900,54,108,40,0,13
901,54,108,41,0,13
902,54,108,42,0,13
903,54,109,1,0,3
904,54,109,3,0,13
905,54,109,4,0,5
906,54,109,5,0,14
907,54,109,6,0,4
908,54,109,7,0,4
909,54,109,8,0,4
910,54,109,9,0,4
911,54,109,10,0,4
912,54,109,11,0,4
913,54,109,12,0,4
